Title,Posting URL,Price,Location,Posted on,Post Time,Updated on,Update time,Description
"2007 Honda CRV, CR-V EX",http://newyork.craigslist.org/brk/cto/5903115361.html,$7800, (Brooklyn ny),2016-12-02,22:53:07,N,,"

QR Code Link to This Post


2007 Honda CR-V EX Model

clean title 
135k original miles 
4 cylinder, automatic transmission, 4wd 
sunroof, cd changer aux fm radio, rims
clean inside and outside 
remote keys 

price is 7800. call 
 show contact info






















#pilot #rogue #rav4 #highlander    "
2007 HONDA CRV,http://newyork.craigslist.org/mnh/cto/5901660187.html,$7900, (Inwood / Wash Hts),2016-12-01,22:48:25,2016-12-01,22:49:51,"

QR Code Link to This Post


2007 honda crv 130k, is in excellent condition. .The truck runs and shifts excellent. No problems with the vehicle at all. Its a very clean interior Windows Power Mirrors AM/FM Stereo Power driver side seat Power Door Locks.please call me 
 show contact info

"
"2007, HONDA CRV AWD MINT CONDITION",http://newyork.craigslist.org/que/cto/5887301262.html,$7700, (QUEENS),2016-11-21,20:32:30,2016-12-01,15:57:37,"

QR Code Link to This Post


2007, HONDA CRV AWD 155,000 HWY MILES CLEAN TITLE RUNS AND DRIVES LIKE NEW AIR CONDITION HEAT CD PLAYER POWER WINDOWS POWER MIRROS LEATHER SEATS FACTORY ALARM 4, NEW TIRES MUCH MORE EXTRAS FOR MORE INFORMATION PLEASE CALL ME AT 
show contact info
"
2007 Honda CRV 4 Door SUV,http://newyork.craigslist.org/brx/cto/5894554709.html,$8500," (Bronx, NY)",2016-11-27,12:57:51,2016-12-02,18:18:45,"

QR Code Link to This Post


2007 Honda CRV 4 Door SUV

Exterior: Blue
Interior: Black Leather Seats
Fuel: Gasoline
23 City MPG/ 30 Hwy MPG

No engine check lights.
Brakes and wheels are good.

Power locks, Power Steering, and Air Conditioning is good.
Front and rear lights working fine.

Warranty and Financing Available.

Contact for more information.    "
Honda CRV New Gas Struts & Shocks,http://newyork.craigslist.org/lgi/pts/5852629201.html,$249, (Nassau),2016-10-29,19:56:53,2016-11-27,22:17:49,"

QR Code Link to This Post


Brand new never used front and rear KYB gas shocks & struts for 2007-2011 honda CRV.
New in boxes. Fit's all crv from 2007-2011.  249.00
Best price anywhere!


"
2012 KIA SOUL+ HONDA CRV ELEMENT TOYOTA RAV4 NISSAN CUBE JUKE,http://newyork.craigslist.org/lgi/ctd/5878168813.html,$10995, ($89/MONTH),2016-11-15,17:06:18,N,,"

QR Code Link to This Post


Copy URL to browser to see full description for this vehicle:
http://www.greatneckcarbuyers.com/2012-Kia-Soul-Great-Neck-NY-Long-Island-Queens-NYC-NASSAU/used_car/%5dFmyWBlt6FI%3d

Check out this excellent 2012 Kia Soul + with a clean carfax and one previous owner.


Color: Silver on Black Cloth
Engine: 2.0L 4 Cylinder Engine 
Stock number: 401457
Transmission: Automatic
Miles: 44608 

FREE 1 YEAR WARRANTY, ONE OWNER, CLEAN CARFAX, DEALER SERVICED. The 2012 Kia Soul brings hipster styling and a fun-to-drive nature to the realm of the practical hatchback. This Soul + is equipped with alloy wheels, power locks and mirrors, air-conditioning, cloth upholstery, a 60/40-split-folding rear seat, a trip computer, a tilt-and-telescoping steering column, and a four-speaker sound system with CD player, satellite radio, an auxiliary audio jack and an iPod/USB audio interface, keyless entry, rear privacy glass, cruise control, a height-adjustable driver seat and Bluetooth phone connectivity, heated mirrors, dash-top and center console storage bins, a leather-wrapped steering wheel and much more. Call today and speak to any of our many sale associates who will gladly assist you in anything you may need to become its next proud owner.  
Please call 516 487 5681 or visit Greatneckcarbuyers.com

Great Neck Car Buyers & Sellers

195 Northern Blvd Great Neck, New York 11021


GO TO WWW.GREATNECKCARBUYERS.COM AND CLICK THE RED TAB TO GET APPROVED IN MINUTES

CALL 516-487-5398 TO GET FINANCED!	




WE HAVE LUXURY IMPORTED CARS 
MODELS LISTED BELOW:

MERCEDES BENZ: C, CL, CLK, CLS, E, GL, ML, S, SL, SLK, & R CLASS
C300, C250, CL550, CLS550, E350 COUPE, 3350, S550, S550 COUPE, GLK350, GL450, ML350, ML550, S550, R350, SL550, & SLK300 (2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014) 

BWM: 3, 5, 6, 7, M, & X-SERIES

328 COUPE, 328 XI COUPE, 335 XI, 335 XI COUPE, 535I, 535 XI, 535 XIA, 550 XI, 650CI, 740I, 750XI, X5 30 SI, X5 35I, X5 50I, X6 35I (2009, 2010, 2011, 2012, 2013, 2014) 

LEXUS: ES, GS, & GX-SERIES

GS 300, GS350, IS250

PORSCHE: CAYENNE S, PANAMERA (2011, 2012, 2013, 2014) 

RANGE ROVER SPORT: HSE LUX (2010, 2011, 2012, 2013, 2014) 

OTHERS: NISSAN MAXIMA SV PREMIUM, TOYOTA CAMRY XLE (2009, 2010, 2011, 2012, 2013, 2014) 
"
2007 *Honda* *CR-V* EX-L 4WD with Navigation -5 MiN ApPrOvALs!UBER,http://newyork.craigslist.org/que/ctd/5865249364.html,$9950, (Dependable Auto Outlet),2016-11-07,10:55:21,N,,"

QR Code Link to This Post


2007 *Honda* *CR-V* EX-L 4WD with Navigation

Offered by: Dependable Auto Outlet — (215) 488-7278 — $9,950

***NAVIGATION*** REAR CAMERA LEATHER SUNROOF HEATED SEATS LEATHER STEERING WHEEL BLUETOOTH HOOKUP POWER SUNROOF ALLOY RIMS OWNER'S MANUAL KEYLESS ENTRY and much more. Call now 215-547-8289. CRV ***NOW FINANCING UBER & LYFT DRIVERS*** Good Credit. Bad Credit. No Credit. 1st Time Buyers. Recent Repos. Bankruptcies. Charge-offs. 5 MINUTE APPROVALS. WE FINANCE UBER DRIVERS.HOME OF THE QUALITY USED CAR UNDER 10000. View all photos and see all inventory at www.DependableAutoOutlet.com. Call now 215-547-8289. Text 215-310-8376. (CARFAX AVAILABLE)

Dependable Auto Outlet


Year: 2007
Make: Honda
Model: CR-V
Series: EX-L 4WD with Navigation
VIN: 5J6RE48747L008252
Stock #: 14026
Condition: Used
MPG: 22 city / 28 highway
Exterior: Silver
Interior: Gray
Body: EX-L 4WD with Navigation
Transmission: Automatic
Engine: 2.4L L4 DOHC 16V

We are the Home of Quality Used Cars under $10,000. We have been family owned and operated for over 30 years. We have customers from Langhorne, Feasterville, Philadelphia, Trenton, New Jersey, New York, Maryland, Delaware, and all over the world.
------ALL REASONABLE CASH OFFERS ACCEPTED-----
 📍 CARFAX AVAILABLE
 📍 FINANCE 4 EVERYONE 💢 
 📍 Good Credit. Bad Credit. No Credit-NO PROBLEM! 👨‍👩‍👦‍👦
 📍  1st Time Buyers. Recent Repos. Bankruptcies. Charge-offs
 📍  5 MINUTE APPROVALS-GIVE US A CALL
 📍  Warranties Available up to 4 years UNLIMITED mileage. 
*Home of the Quality Used Car under $10,000*
All prices based on cash, credit cards, or certified checks. 
Special Financing arrangements may require up to $3000 cash or trade in equity applied to the sale price. Tax, tags, registration and bank fees extra.
Website: www.dependableautooutlet.com/
Address: 351 Lincoln Hwy Fairless Hills, PA 19030
Phone: (215) 488-7278

[NEW!] Text (215) 488-7278 for quick answers to your questions about this Honda CR-V.Your message will always be answered by a real human — never an automated system.




Disclaimer: Dependable Auto Outlet will never sell, share, or spam your mobile number. Standard text messaging rates may apply. 



*Honda* *CR-V* *EX-L* *4WD* *with* *Navigat*
"
2007 Honda CRV EX AWD,http://newyork.craigslist.org/stn/cto/5901209015.html,$7995, (4 CYLINDER/ AWD),2016-12-01,16:19:57,N,,"

QR Code Link to This Post


2007 Honda CRV EX. Runs and drives excellent! 4 cylinder, great on gas, power windows and door locks, All Wheel Drive, ice cold a/c, heat, alloy wheels, new tires, sunroof... Great for the everyday commute to work or school. Call cell phones 
show contact info
or 
show contact info
 Located in Staten Island NY. Has 158k. Clean carfax!    "
MESH RS STYLE BIG LIP 15X7.5 SILVER MACHINED LIP 4x100 4x114 4x114.3,http://newyork.craigslist.org/que/wtd/5887981230.html,$275, (Fresh Meadows),2016-11-22,11:45:34,2016-11-28,12:19:01,"

QR Code Link to This Post


UP FOR SALE THIS WEEK

MESH RS STYLE BIG LIP 15X7.5 SILVER W/ MACHINED LIP TUNER WHEELS
PRICE IS $300 FIRM (NO TRADES, NO LOW BALLERS)
These wheels are BRAND NEW IN BOX All 4. WHEEL SIZE is a 15' and is 7.5' wide.
4 LUGS 4/100 & 4X114 BOLT PATTERN Universal Pattern. With +20 OFFSET and Center Bore is 73.1. PRICE IS 275 (Only trade interested is in your cash)


Claws
185-08 Horace Harding Expwy
Fresh Meadows, NY 11365
show contact info











2000,2001,2002,2003,2004,2005,2006,2007,20082009,2010,2011,2012,2013,2014 AUDI A4, AUDI A6, ADUI TT, AUDI TT QUATTRO, ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN,PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT, Honda ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT 2004 2005 2006 2007 2008 AUDI A4, AUDI A6,ACURA MDX,NISSAN ALTIMA,NISSAN MAXIMA,HONDA ACCORD,ACURA TSX.BMW 3 SERIES,BMW 745I,BMW 745LI,BMW 750I,BMW 750LI,BMW X3,BMW X5.INFINITI G35X,INFINITI G35 COUPE,INFINITI M35X,INFINITI FX35.MERCEDES BENZ C240 4MATIC,MERCEDES BENZ C230,MERCEDES BENZ C320,MERCEDES BENZ C280,MERCEDES BENZ CLK 350/MERCEDES BENZ CLK550,MERCEDES BENZ E320,MERCEDES BENZ E350 4MATIC,MERCEDES BENZ ML350 4MATIC,MERCEDES BENZ GL450 4MATIC.VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT370Z,TL,SI,CIVIC,SUPRA,TSX,EVO,RSX,SUPRA,GTI,CIVIC,SI,S2000,STI,BMW,RSX,STI,EVO,NISSAN ALTIMA,MAXIMA,GTI,BMW 325XI,BMW 335I,BMW 335XI,BMW 525I, INFINITI,MERCEDES BENZ,S200,VOLKSWAGEN JETTA,VOLKSWAGEN PASSAT.. Honda - ACCORD CIVIC CRV ELEMENT ODYSSEY PILOT PRELUDE S2000 Hyundai - AZERA ELANTRA SANTA FE SONATA TIBURON TUCSON VERACRUZ XG Infiniti - EX35 FX35 FX45 G35 COUPE SEDAN G37 I30 T I35 J30 M35 M45 Q45 T KIA - AMANTI OPTIMA RONDO SEDONA SENTRY SPORTAGE Lexus - ES300 ES330 ES350 GS300 GS330 GS350 GS400 GS430 GS450 GS460 IS250 AWD RWD IS300 IS350 ISF LS350 LS400 LS430 RX300 RX330 RX350 RX400 SC300 SC400 SC430 SE330 Mazda - 3 MAZDASPEED3 5 SPORT TURBO ALL MOTOR POWER    "
2007 honda crv,http://newyork.craigslist.org/wch/cto/5901220578.html,$6800, (Mount Vernon),2016-12-01,16:27:42,N,,"

QR Code Link to This Post


07 Honda CRV
4 cyl with 156 miles 
Auto transmission, 
Ex model with alloys and sunroof,
All wheel drive,
Very clean in and out. 
No issues at all, drives like new and serviced.
No accidents.
No need to repair anything.
Excellent on gas for more information call me at 
 show contact info
thanks    "
